dia_semana;uf;br;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;condicao_metereologica;pessoas;mortos;feridos;veiculos
sexta-feira;SC;101;LAGUNA;Ingestao de alcool pelo condutor;Colisao traseira;Com Vitimas Feridas;Plena Noite;Nublado;3;0;1;2
sexta-feira;SC;101;NAVEGANTES;Manobra de mudanca de faixa;Colisao lateral;Com Vitimas Feridas;Plena Noite;Nublado;3;0;2;2
sexta-feira;SC;101;ICARA;Ingestao de alcool pelo condutor;Saida de leito carrocavel;Com Vitimas Feridas;Amanhecer;Nublado;1;0;1;1
sexta-feira;SC;101;ITAPEMA;Ingestao de alcool pelo condutor;Colisao traseira;Com Vitimas Feridas;Pleno dia;Nublado;5;0;3;2
sexta-feira;SC;280;ARAQUARI;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Plena Noite;Chuva;1;0;1;1
sexta-feira;SC;470;BLUMENAU;Condutor deixou de manter distancia do veiculo da frente;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;2;2
sexta-feira;SC;470;BLUMENAU;Sinalizacao mal posicionada;Colisao transversal;Com Vitimas Feridas;Pleno dia;Nublado;2;0;1;2
sexta-feira;SC;470;LONTRAS;Transitar na contramao;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Nublado;3;0;2;1
sexta-feira;SC;101;JOINVILLE;Velocidade Incompativel;Saida de leito carrocavel;Sem Vitimas;Pleno dia;Garoa/Chuvisco;3;0;0;1
sexta-feira;SC;101;SAO JOSE;Manobra de mudanca de faixa;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;3;0;2;2
sexta-feira;SC;282;PINHALZINHO;Ausencia de reacao do condutor;Colisao frontal;Com Vitimas Feridas;Pleno dia;Ceu Claro;4;0;4;2
sexta-feira;SC;470;INDAIAL;Transitar na contramao;Colisao frontal;Com Vitimas Fatais;Pleno dia;Nublado;9;2;6;3
sexta-feira;SC;101;TUBARAO;Ingestao de alcool e/ou substancias psicoativas pelo pedestre;Colisao com objeto;Com Vitimas Feridas;Pleno dia;Ceu Claro;4;0;4;1
sexta-feira;SC;101;ITAPEMA;Velocidade Incompativel;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;4;0;2;2
sexta-feira;SC;470;LONTRAS;Acessar a via sem observar a presenca dos outros veiculos;Colisao transversal;Com Vitimas Feridas;Plena Noite;Nublado;4;0;2;2
sabado;SC;282;FLORIANOPOLIS;Pedestre cruzava a pista fora da faixa;Atropelamento de Pedestre;Com Vitimas Feridas;Plena Noite;Nublado;2;0;1;1
sabado;SC;101;PALHOCA;Ingestao de alcool pelo condutor;Colisao com objeto;Com Vitimas Feridas;Amanhecer;Ceu Claro;1;0;1;1
sabado;SC;101;ITAJAI;Trafegar com motocicleta (ou similar) entre as faixas;Colisao traseira;Com Vitimas Feridas;Pleno dia;Sol;4;0;2;3
sabado;SC;280;JARAGUA DO SUL;Acessar a via sem observar a presenca dos outros veiculos;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
sabado;SC;470;INDAIAL;Conversao proibida;Colisao transversal;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;2;2
sabado;SC;101;SAO JOSE;Declive acentuado;Colisao lateral;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
sabado;SC;101;PALHOCA;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Sem Vitimas;Pleno dia;Ceu Claro;2;0;0;2
sabado;SC;101;SAO JOSE;Falta de acostamento;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;4;0;1;4
sabado;SC;280;ARAQUARI;Pista Escorregadia;Capotamento;Com Vitimas Feridas;Pleno dia;Chuva;2;0;2;1
sabado;SC;101;ITAJAI;Condutor deixou de manter distancia do veiculo da frente;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;4;0;1;3
sabado;SC;101;SAO JOSE;Velocidade Incompativel;Colisao traseira;Com Vitimas Feridas;Pleno dia;Ceu Claro;2;0;1;2
sabado;SC;282;AGUAS MORNAS;Velocidade Incompativel;Saida de leito carrocavel;Com Vitimas Feridas;Pleno dia;Nublado;2;0;2;1
